,actual,predicted
0,0.349464567456,0.230457797647
1,0.109479393506,0.480325400829
2,0.0129963340678,0.455619692802
3,-0.28465158214,0.17328722775
4,-0.332858915474,-0.0102223521098
5,-1.05849549673,-0.132266312838
6,-1.87906711671,-0.781665861607
7,-1.81286901519,-0.970425248146
8,-1.56136355484,-0.983428299427
9,-1.83071270872,-0.987192332745
10,-1.90990911668,-0.986088335514
11,-1.49418052007,-0.993727385998
12,-1.15754667535,-0.976616799831
13,-1.20514720652,-0.960793495178
14,-0.719715816984,-0.942038118839
15,-0.704236991464,-0.891095578671
16,0.0687681482414,-0.776921153069
17,1.239204582,-0.358114033937
18,1.4966079996,0.874822854996
19,1.13536445039,0.979246139526
20,0.0891225332204,0.945802152157
21,-0.473115780789,0.408878445625
22,-0.398251945842,-0.264286905527
23,1.20431281449,-0.612897157669
24,0.79039859374,0.913520932198
25,0.811306580702,0.809911131859
26,0.284644631645,0.792243301868
27,0.520900327244,0.593559145927
28,0.79690267458,0.597653031349
29,0.508230932095,0.860356450081
30,1.25850373874,0.782918393612
31,1.12666603869,0.942665100098
32,1.62824358932,0.967510700226
33,1.8540291948,0.987542748451
34,1.37949908199,0.995664358139
35,1.17657845964,0.987924039364
36,1.31925451985,0.965104401112
37,0.973666418364,0.969745695591
38,0.514190728556,0.944893538952
39,0.690006520458,0.763946175575
40,1.17742756681,0.765571773052
41,1.85993749507,0.947512090206
42,1.95177314888,0.991070091724
43,2.47641611047,0.996971547604
44,2.45085390576,0.999006092548
45,2.19681659419,0.999349951744
46,2.16789455091,0.998906672001
47,1.57137362887,0.998957812786
48,1.51240303492,0.995221972466
49,0.729028556761,0.989107728004
50,0.48107444835,0.927203536034
51,0.714006083883,0.827001094818
52,0.224747007697,0.851348519325
53,0.669270931252,0.633575856686
54,0.389241199984,0.75962382555
55,0.85381254219,0.619625985622
56,0.650577701668,0.767201304436
57,0.682222903286,0.780667185783
58,0.660456865605,0.803183317184
59,1.40294028642,0.745244324207
60,0.632332350203,0.958793878555
61,0.341713190441,0.774327814579
62,-0.170740961767,0.0770140215755
63,0.0744987835886,-0.259272545576
64,-0.453612579764,-0.112583480775
65,-0.896925681323,-0.431640803814
66,-1.55308968784,-0.830979645252
67,-1.3210654318,-0.97177863121
68,-1.27013205585,-0.981070399284
69,-1.04395150861,-0.965498685837
70,-1.19170134039,-0.934587836266
71,-1.15325659361,-0.954391956329
72,-1.09050706244,-0.942467272282
73,-1.7195632041,-0.91454577446
74,-1.50173204838,-0.98498749733
75,-1.22724890842,-0.989132404327
76,-1.98500756649,-0.973130702972
77,-0.959067659685,-0.994239509106
78,-1.04303377877,-0.963193178177
79,-0.418294159675,-0.886211693287
80,0.395241709967,-0.672336161137
81,1.80906442565,0.512872219086
82,1.08657559338,0.996973931789
83,0.882551613051,0.948967516422
84,0.616714336537,0.864133179188
85,-0.486993205655,0.783315420151
86,-0.234665149515,-0.214477777481
87,-0.0505919375476,-0.42421400547
88,-0.895861905292,0.0316547043622
89,-1.51889754159,-0.569597125053
90,-0.854893752154,-0.93977946043
91,-0.108185790487,-0.87147295475
92,-0.394914582707,0.145930245519
93,-1.08996696112,0.0409549623728
94,-0.947129577714,-0.882807075977
95,0.142426049562,-0.841681241989
96,-0.147785490959,-0.145388320088
97,-0.148282958263,-0.152586713433
98,0.125273955813,-0.390008330345
99,0.46000811008,0.153720393777
100,0.901027786105,0.327865302563
101,0.620261502902,0.67639952898
102,-0.180834175232,0.710860311985
103,0.57190816723,-0.31117016077
104,0.520308391811,0.298944950104
105,-0.481411862832,0.548381447792
106,-0.0668924803588,-0.323818057775
107,0.417341298774,-0.424634128809
108,0.539103590681,0.268366724253
109,0.0704644037687,0.634886145592
110,-0.196505050599,0.165471985936
111,-0.88230156478,-0.239368826151
112,-1.05780104303,-0.743276536465
113,0.524907686997,-0.915699899197
114,0.220702803053,0.442318409681
115,-0.159322417163,0.818790793419
116,-0.953269869876,-0.138389259577
117,-0.567838629663,-0.929786860943
118,-0.211714792011,-0.799212276936
119,1.47612457914,-0.584881186485
120,1.6862107758,0.950748443604
121,1.92441996586,0.988236248493
122,2.29342682072,0.998187363148
123,1.36905673279,0.997871994972
124,1.21332055814,0.990656018257
125,0.31280329856,0.989306807518
126,-1.74009731234,0.837743103504
127,-1.82456478778,-0.946716785431
128,-1.2364364445,-0.968014419079
129,-0.557947309073,-0.938542604446
130,-0.796043883874,-0.681839168072
131,-0.0445849035329,-0.771030902863
132,-1.32455631581,-0.555738270283
133,-0.826792158596,-0.923236846924
134,0.993574432946,-0.774509429932
135,2.88508219895,0.90630030632
136,3.42579987484,0.99934977293
137,2.80687280616,0.999973535538
138,3.34852570195,0.99989926815
139,4.73563108235,0.999954521656
140,3.38865502329,0.999998927116
141,2.83817512507,0.999987244606
142,2.44082143665,0.999918460846
143,1.84238142087,0.999767124653
144,1.36172145031,0.998271584511
145,1.32721771403,0.990808784962
146,1.26097511713,0.985537528992
147,1.20680505528,0.981450021267
148,1.17860932546,0.973850131035
149,0.991967964738,0.965348780155
150,1.04470334829,0.948446631432
151,0.92593622335,0.940814614296
152,1.05586049116,0.922998309135
153,0.941702237269,0.935579657555
154,0.79290784027,0.898059010506
155,0.721380917391,0.835265696049
156,1.10080223177,0.807920992374
157,1.05481500608,0.941590189934
158,0.914536872505,0.896937608719
159,0.909315789471,0.849035739899
160,0.939662339366,0.835088551044
161,0.792446902758,0.846305131912
162,0.849898919707,0.823784887791
163,0.505581822526,0.847047388554
164,-0.411052038411,0.662070453167
