;loss;val_loss
0;0.739912519954;0.697124002527
1;0.713044672705;0.694750973734
2;0.710265783039;0.696561810783
3;0.702586955026;0.692130879647
4;0.700138142184;0.686722099873
5;0.695724890862;0.693831909052
6;0.696623902437;0.688505258509
7;0.69371614374;0.687728071892
8;0.69169664329;0.690571536911
9;0.692901822051;0.687352677248
10;0.691803544283;0.689254981527
11;0.690390840049;0.689019194277
12;0.692536947137;0.687216145232
13;0.690448240172;0.692494467062
14;0.691462533962;0.689134477467
15;0.69133962357;0.687938618274
16;0.69118538504;0.686626182131
17;0.691823287303;0.687948717175
;;
;;
;;
;;
;;
;;
;;
